CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C0073,48,13,64853.553,3,4,4,11,Loyal
C0074,38,14,51831.6995,4,4,3,11,Loyal
C0075,14,16,88486.753,5,5,4,14,High Value
C0076,83,2,24323.296499999997,2,1,2,5,At Risk
C0077,5,8,45429.2,5,3,3,11,Loyal
C0078,73,5,27228.67,3,2,2,7,Potential
C0079,56,3,29406.221500000003,3,2,2,7,Potential
C0080,71,4,52101.631,3,2,3,8,Potential
C0081,43,3,22434.396,3,2,2,7,Potential
C0083,325,1,5192.244000000001,1,1,1,3,At Risk
C0084,117,3,8158.2005,2,2,1,5,At Risk
C0085,30,14,91016.169,4,4,4,12,Loyal
C0086,45,6,49021.479,3,3,3,9,Potential
C0087,1,20,71091.748,5,5,4,14,High Value
C0088,136,11,60593.066,2,4,4,10,Loyal
C0090,39,18,130755.038,3,5,5,13,High Value
C0091,27,22,128881.322,4,5,5,14,High Value
C0092,2,3,24667.68,5,2,2,9,Potential
C0093,4,6,44009.865,5,3,3,11,Loyal
C0094,5,35,240830.6615,5,5,5,15,High Value
C0095,48,10,78217.6475,3,4,4,11,Loyal
C0096,77,18,85811.6245,3,5,4,12,Loyal
C0097,229,2,6504.982,1,1,1,3,At Risk
C0098,137,2,11522.3,2,1,1,4,At Risk
C0099,172,4,12225.587500000001,2,2,1,5,At Risk
C0100,8,7,58013.9915,5,3,4,12,Loyal
C0101,8,16,120035.927,5,5,5,15,High Value
C0102,19,42,300380.8695,4,5,5,14,High Value
C0103,47,7,48224.8615,3,3,3,9,Potential
C0105,9,15,103340.6375,5,5,5,15,High Value
C0106,13,7,51463.0585,5,3,3,11,Loyal
C0107,711,1,3448.88,1,1,1,3,At Risk
C0108,221,5,19434.376500000002,1,2,2,5,At Risk
C0109,1,4,14939.2745,5,2,2,9,Potential
C0110,252,9,60356.2805,1,4,4,9,Potential
C0111,87,6,35072.9225,2,3,3,8,Potential
C0112,333,2,13515.513,1,1,1,3,At Risk
C0113,6,29,191641.79,5,5,5,15,High Value
C0114,87,3,14323.566499999999,2,2,2,6,At Risk
C0115,107,3,21406.239999999998,2,2,2,6,At Risk
C0116,593,2,7537.3859999999995,1,1,1,3,At Risk
C0117,88,10,60995.62,2,4,4,10,Loyal
C0118,47,4,26007.999,3,2,2,7,Potential
C0119,25,2,1981.6809999999998,4,1,1,6,At Risk
C0120,32,4,22638.6885,4,2,2,8,Potential
C0121,10,3,17575.833,5,2,2,9,Potential
C0122,80,5,34511.558000000005,2,2,3,7,Potential
C0123,1,3,11835.526,5,2,1,8,Potential
C0124,9,9,81719.151,5,4,4,13,High Value
C0125,8,6,35013.028,5,3,3,11,Loyal
C0128,11,18,119157.81599999999,5,5,5,15,High Value
C0129,52,15,97487.2525,3,5,5,13,High Value
C0130,234,1,34940.35,1,1,3,5,At Risk
C0131,14,10,60490.1465,5,4,4,13,High Value
C0132,11,7,45610.1245,5,3,3,11,Loyal
C0133,30,29,169169.7755,4,5,5,14,High Value
C0134,118,1,1776.6869999999997,2,1,1,4,At Risk
C0135,105,8,49863.8655,2,3,3,8,Potential
C0136,348,2,14152.24,1,1,2,4,At Risk
C0137,16,6,20836.251,5,3,2,10,Loyal
C0138,32,27,162189.672,4,5,5,14,High Value
C0139,143,6,21648.596,2,3,2,7,Potential
C0140,22,3,22942.118,4,2,2,8,Potential
C0142,106,10,108514.2055,2,4,5,11,Loyal
C0143,68,7,58842.9515,3,3,4,10,Loyal
C0144,37,3,14356.283,4,2,2,8,Potential
C0145,14,20,114809.4875,5,5,5,15,High Value
C0147,337,3,26179.989499999996,1,2,2,5,At Risk
C0148,14,20,125279.62700000001,5,5,5,15,High Value
C0149,168,4,33848.817,2,2,3,7,Potential
C0150,823,1,4985.19,1,1,1,3,At Risk
C0151,1,7,64355.6655,5,3,4,12,Loyal
C0152,63,10,49183.086,3,4,3,10,Loyal
C0153,452,1,593.397,1,1,1,3,At Risk
C0154,14,21,168459.76,5,5,5,15,High Value
C0155,85,17,109310.65,2,5,5,12,Loyal
C0156,321,3,21517.1205,1,2,2,5,At Risk
C0157,8,17,106201.1185,5,5,5,15,High Value
C0158,134,3,5404.31,2,2,1,5,At Risk
C0159,24,4,38342.548,4,2,3,9,Potential
C0160,6,20,101092.154,5,5,5,15,High Value
C0161,27,25,185037.884,4,5,5,14,High Value
C0163,92,3,30436.534000000003,2,2,2,6,At Risk
C0164,13,8,48452.778,5,3,3,11,Loyal
C0165,137,3,16412.015,2,2,2,6,At Risk
C0166,105,4,16267.179500000002,2,2,2,6,At Risk
C0168,158,8,79704.03349999999,2,3,4,9,Potential
C0169,105,4,38891.3225,2,2,3,7,Potential
C0170,816,1,2687.58,1,1,1,3,At Risk
C0171,26,15,118644.171,4,5,5,14,High Value
C0172,11,17,95950.48150000001,5,5,5,15,High Value
C0173,19,4,14343.5455,4,2,2,8,Potential
C0174,438,2,14714.051,1,1,2,4,At Risk
C0175,159,13,105604.9145,2,4,5,11,Loyal
C0176,13,9,46997.146,5,4,3,12,Loyal
C0177,2,7,32027.964,5,3,3,11,Loyal
C0178,53,11,65904.51550000001,3,4,4,11,Loyal
C0180,787,1,2117.5215,1,1,1,3,At Risk
C0184,9,49,307232.3755,5,5,5,15,High Value
C0185,460,1,12020.16,1,1,1,3,At Risk
C0186,195,2,3832.281,1,1,1,3,At Risk
C0187,189,2,6583.715,1,1,1,3,At Risk
C0188,8,25,165926.487,5,5,5,15,High Value
C0189,54,3,5452.554,3,2,1,6,At Risk
C0190,17,6,45450.902,5,3,3,11,Loyal
C0191,14,23,139643.6115,5,5,5,15,High Value
C0192,25,4,19627.124,4,2,2,8,Potential
C0193,3,4,14927.804,5,2,2,9,Potential
C0195,165,3,8596.887,2,2,1,5,At Risk
C0196,9,3,14046.0685,5,2,2,9,Potential
C0197,39,17,107482.45749999999,3,5,5,13,High Value
C0198,335,3,5187.6285,1,2,1,4,At Risk
C0199,70,7,29965.3855,3,3,2,8,Potential
C0201,206,1,5317.84,1,1,1,3,At Risk
C0202,63,3,26263.7325,3,2,2,7,Potential
C0203,65,23,116916.234,3,5,5,13,High Value
C0204,242,5,20768.217,1,2,2,5,At Risk
C0205,263,13,108609.21800000001,1,4,5,10,Loyal
C0206,29,3,33078.436,4,2,3,9,Potential
C0207,359,1,5190.89,1,1,1,3,At Risk
C0209,22,2,20265.606,4,1,2,7,Potential
C0210,117,1,4702.06,2,1,1,4,At Risk
C0212,8,17,98054.1255,5,5,5,15,High Value
C0214,20,14,87398.08750000001,4,5,4,13,High Value
C0215,178,4,51532.6385,2,2,3,7,Potential
C0216,66,6,32706.674,3,3,3,9,Potential
C0217,2,9,46797.064,5,4,3,12,Loyal
C0219,157,4,11436.873500000002,2,2,1,5,At Risk
C0220,21,13,83244.92649999999,4,4,4,12,Loyal
C0221,25,11,70094.058,4,4,4,12,Loyal
C0223,498,1,10291.140000000001,1,1,1,3,At Risk
C0224,143,15,117661.5645,2,5,5,12,Loyal
C0225,411,2,9679.105,1,1,1,3,At Risk
C0226,65,4,46157.788499999995,3,2,3,8,Potential
C0227,231,7,23586.7245,1,3,2,6,At Risk
C0228,348,2,10314.2685,1,1,1,3,At Risk
C0229,9,10,61082.0625,5,4,4,13,High Value
C0230,25,4,49891.076,4,2,3,9,Potential
C0232,12,4,43580.154,5,2,3,10,Loyal
C0233,47,17,125420.3435,3,5,5,13,High Value
C0234,3,8,38123.613,5,3,3,11,Loyal
C0236,44,8,70749.3745,3,3,4,10,Loyal
C0237,49,9,35493.832500000004,3,4,3,10,Loyal
C0238,29,13,117202.072,4,4,5,13,High Value
C0239,78,8,82143.9825,2,3,4,9,Potential
C0240,127,2,32440.770000000004,2,1,3,6,At Risk
C0241,2,11,56866.5925,5,4,4,13,High Value
C0242,61,11,48064.016,3,4,3,10,Loyal
C0244,95,4,22354.195,2,2,2,6,At Risk
C0245,285,4,29228.2845,1,2,2,5,At Risk
C0246,90,6,45430.0475,2,3,3,8,Potential
C0247,36,1,4944.37,4,1,1,6,At Risk
C0248,36,7,39009.404500000004,4,3,3,10,Loyal
C0249,24,29,162213.5455,4,5,5,14,High Value
C0250,119,12,84480.395,2,4,4,10,Loyal
C0251,25,15,107602.6745,4,5,5,14,High Value
C0252,17,45,255253.97249999997,5,5,5,15,High Value
C0254,8,10,54018.871,5,4,4,13,High Value
C0255,153,1,10910.322,2,1,1,4,At Risk
C0256,18,19,167311.109,4,5,5,14,High Value
C0257,73,2,33587.21,3,1,3,7,Potential
C0258,21,28,162515.838,4,5,5,14,High Value
C0259,59,8,53461.804000000004,3,3,4,10,Loyal
C0260,238,10,42846.279,1,4,3,8,Potential
C0261,227,2,1267.38,1,1,1,3,At Risk
C0262,42,4,31397.2965,3,2,3,8,Potential
C0263,6,11,83935.468,5,4,4,13,High Value
C0265,79,12,44737.951,2,4,3,9,Potential
C0267,57,10,78042.6845,3,4,4,11,Loyal
C0268,656,1,1588.115,1,1,1,3,At Risk
C0269,11,10,49683.166,5,4,3,12,Loyal
C0270,20,13,43277.9965,4,4,3,11,Loyal
C0271,136,5,12288.289,2,2,1,5,At Risk
C0272,112,3,21180.522,2,2,2,6,At Risk
C0274,38,11,91716.4375,4,4,4,12,Loyal
C0275,17,5,41873.414000000004,5,2,3,10,Loyal
C0276,5,5,33097.745,5,2,3,10,Loyal
C0277,345,5,36555.1945,1,3,3,7,Potential
C0278,76,3,11961.218,3,2,1,6,At Risk
C0279,216,1,6197.292,1,1,1,3,At Risk
C0281,120,4,23854.116,2,2,2,6,At Risk
C0282,18,26,171546.634,4,5,5,14,High Value
C0283,33,16,102634.163,4,5,5,14,High Value
C0284,189,7,60497.021499999995,1,3,4,8,Potential
C0285,237,4,25210.551,1,2,2,5,At Risk
C0286,29,12,73381.05900000001,4,4,4,12,Loyal
C0287,58,7,31717.78,3,3,3,9,Potential
C0289,535,1,15004.659,1,1,2,4,At Risk
C0290,273,6,24887.195,1,3,2,6,At Risk
C0291,89,37,259598.44700000001,2,5,5,12,Loyal
C0292,10,9,69731.0155,5,4,4,13,High Value
C0295,10,16,121746.324,5,5,5,15,High Value
C0296,63,24,146449.844,3,5,5,13,High Value
C0297,215,4,37393.529500000004,1,2,3,6,At Risk
C0298,33,10,61369.0965,4,4,4,12,Loyal
C0300,114,13,58401.6705,2,4,4,10,Loyal
C0301,72,10,49618.608,3,4,3,10,Loyal
C0302,112,1,9819.711,2,1,1,4,At Risk
C0303,21,11,71324.4515,4,4,4,12,Loyal
C0307,19,4,19958.683,4,2,2,8,Potential
C0308,31,2,2717.949,4,1,1,6,At Risk
C0309,86,5,46528.438,2,3,3,8,Potential
C0310,101,5,34838.007,2,3,3,8,Potential
C0311,166,5,28918.188000000002,2,3,2,7,Potential
C0312,109,3,9994.2735,2,2,1,5,At Risk
C0313,239,1,2202.453,1,1,1,3,At Risk
C0314,34,11,79391.966,4,4,4,12,Loyal
C0315,128,5,27801.745,2,3,2,7,Potential
C0316,352,3,15488.833,1,2,2,5,At Risk
C0317,26,14,105045.27599999998,4,5,5,14,High Value
C0318,60,16,78684.70999999999,3,5,4,12,Loyal
C0319,69,12,77604.486,3,4,4,11,Loyal
C0320,328,2,13893.019,1,1,1,3,At Risk
C0321,485,2,17142.03,1,1,2,4,At Risk
C0322,66,7,115558.035,3,3,5,11,Loyal
C0323,176,3,14994.449,2,2,2,6,At Risk
C0324,180,2,31312.0815,2,1,3,6,At Risk
C0325,170,1,2117.5215,2,1,1,4,At Risk
C0326,7,12,121604.179,5,4,5,14,High Value
C0327,263,3,10529.565999999999,1,2,1,4,At Risk
C0328,112,22,167211.469,2,5,5,12,Loyal
C0329,13,17,116863.7005,5,5,5,15,High Value
C0330,18,8,48044.587999999996,4,3,3,10,Loyal
C0331,13,15,87747.337,5,5,4,14,High Value
C0332,96,9,48070.174,2,4,3,9,Potential
C0333,47,14,90646.786,3,5,4,12,Loyal
C0334,62,6,35667.472499999996,3,3,3,9,Potential
C0335,96,10,74841.06999999999,2,4,4,10,Loyal
C0336,34,8,88701.1835,4,3,4,11,Loyal
C0337,7,24,156375.786,5,5,5,15,High Value
C0338,79,5,17919.82,2,3,2,7,Potential
C0339,36,9,65252.508499999996,4,4,4,12,Loyal
C0340,48,14,106071.879,3,5,5,13,High Value
C0341,20,16,132528.9075,4,5,5,14,High Value
C0342,343,7,55740.4795,1,3,4,8,Potential
C0344,108,3,39165.109000000004,2,2,3,7,Potential
C0345,37,35,285704.483,4,5,5,14,High Value
C0346,8,19,132156.495,5,5,5,15,High Value
C0347,25,11,57719.411,4,4,4,12,Loyal
C0349,307,5,51099.656,1,3,3,7,Potential
C0350,25,6,53245.977,4,3,3,10,Loyal
C0351,80,12,62785.424,2,4,4,10,Loyal
C0353,91,19,133426.5175,2,5,5,12,Loyal
C0354,17,3,10791.136999999999,5,2,1,8,Potential
C0355,405,1,3636.93,1,1,1,3,At Risk
C0356,132,3,17705.1625,2,2,2,6,At Risk
C0357,942,1,1620.04,1,1,1,3,At Risk
C0358,11,8,40758.763,5,3,3,11,Loyal
C0361,2,19,119946.03,5,5,5,15,High Value
C0363,346,2,18989.9765,1,1,2,4,At Risk
C0364,32,4,21487.544,4,2,2,8,Potential
C0365,2,10,74846.8965,5,4,4,13,High Value
C0366,16,17,149410.2175,5,5,5,15,High Value
C0367,57,5,37231.61,3,3,3,9,Potential
C0368,17,9,54848.6775,5,4,4,13,High Value
C0369,2,7,54059.943,5,3,4,12,Loyal
C0371,126,4,16981.5025,2,2,2,6,At Risk
C0372,29,4,17420.16,4,2,2,8,Potential
C0373,678,1,10101.345,1,1,1,3,At Risk
C0374,19,11,45593.457500000004,4,4,3,11,Loyal
C0375,67,10,51552.194,3,4,3,10,Loyal
C0376,52,6,43206.959,3,3,3,9,Potential
C0377,358,2,20295.32,1,1,2,4,At Risk
C0378,897,1,2952.045,1,1,1,3,At Risk
C0379,32,5,16538.186999999998,4,3,2,9,Potential
C0380,39,8,63066.7645,3,3,4,10,Loyal
C0381,93,7,60510.8355,2,3,4,9,Potential
C0382,875,2,4024.647,1,1,1,3,At Risk
C0383,39,12,60097.532,3,4,4,11,Loyal
C0384,70,14,91968.319,3,5,4,12,Loyal
C0385,49,3,10421.1905,3,2,1,6,At Risk
C0386,456,3,39197.016,1,2,3,6,At Risk
C0387,45,32,218682.9315,3,5,5,13,High Value
C0388,62,3,17041.308999999997,3,2,2,7,Potential
C0389,115,5,13234.014000000001,2,3,1,6,At Risk
C0391,374,4,30890.3775,1,2,3,6,At Risk
C0392,180,2,30248.975999999995,2,1,2,5,At Risk
C0393,20,24,137056.5635,4,5,5,14,High Value
C0394,19,11,62567.9495,4,4,4,12,Loyal
C0395,62,17,89818.337,3,5,4,12,Loyal
C0396,22,13,101898.8005,4,4,5,13,High Value
C0397,138,8,44978.282999999996,2,3,3,8,Potential
C0398,208,7,31533.801,1,3,3,7,Potential
C0399,28,12,96562.06949999998,4,4,5,13,High Value
C0400,30,31,183915.68349999998,4,5,5,14,High Value
C0401,30,9,62077.7875,4,4,4,12,Loyal
C0402,11,22,128804.575,5,5,5,15,High Value
C0403,7,5,29033.031,5,3,2,10,Loyal
C0404,20,4,25499.204999999998,4,2,2,8,Potential
C0405,60,9,46948.921,3,4,3,10,Loyal
C0406,193,2,9029.4555,1,1,1,3,At Risk
C0408,455,2,23873.831999999995,1,1,2,4,At Risk
C0409,65,6,49856.868,3,3,3,9,Potential
C0410,93,5,23946.319,2,3,2,7,Potential
C0411,17,10,71131.366,5,4,4,13,High Value
C0412,1,27,220157.2315,5,5,5,15,High Value
C0413,122,4,19486.036,2,2,2,6,At Risk
C0414,77,6,32935.7285,3,3,3,9,Potential
C0415,250,1,7260.8,1,1,1,3,At Risk
C0417,59,14,94401.5445,3,5,5,13,High Value
C0418,150,5,30127.850000000002,2,3,2,7,Potential
C0419,40,13,79661.3335,3,4,4,11,Loyal
C0420,111,2,16098.966,2,1,2,5,At Risk
C0421,39,8,56733.4445,3,3,4,10,Loyal
C0422,255,2,9705.204000000002,1,1,1,3,At Risk
C0423,77,3,31127.32,3,2,3,8,Potential
C0426,178,3,34227.852,2,2,3,7,Potential
C0427,430,1,11944.8,1,1,1,3,At Risk
C0428,3,28,209114.306,5,5,5,15,High Value
C0429,113,4,33080.558,2,2,3,7,Potential
C0430,266,2,7277.8009999999995,1,1,1,3,At Risk
C0431,638,1,4222.176,1,1,1,3,At Risk
C0432,5,15,128813.728,5,5,5,15,High Value
C0434,6,25,180134.12050000002,5,5,5,15,High Value
C0435,33,32,208026.086,4,5,5,14,High Value
C0436,61,2,18853.378,3,1,2,6,At Risk
C0437,7,8,33817.8605,5,3,3,11,Loyal
C0439,28,12,78502.943,4,4,4,12,Loyal
C0440,350,2,2119.398,1,1,1,3,At Risk
C0441,111,3,8444.182499999999,2,2,1,5,At Risk
C0442,72,3,30614.7045,3,2,2,7,Potential
C0443,60,4,34622.076,3,2,3,8,Potential
C0444,22,5,28755.5495,4,3,2,9,Potential
C0445,99,3,7865.67,2,2,1,5,At Risk
C0446,68,11,77229.4515,3,4,4,11,Loyal
C0447,3,7,28354.8565,5,3,2,10,Loyal
C0448,8,16,102746.24500000001,5,5,5,15,High Value
C0450,54,14,143052.7065,3,5,5,13,High Value
C0451,64,6,26185.004,3,3,2,8,Potential
C0453,70,6,58705.1,3,3,4,10,Loyal
C0454,94,3,27302.71,2,2,2,6,At Risk
C0455,19,26,225695.588,4,5,5,14,High Value
C0456,112,1,3580.0385,2,1,1,4,At Risk
C0457,3,12,134760.459,5,4,5,14,High Value
C0458,35,6,57437.6,4,3,4,11,Loyal
C0459,2,24,151427.9075,5,5,5,15,High Value
C0460,44,5,22378.9875,3,3,2,8,Potential
C0461,3,25,196446.6785,5,5,5,15,High Value
C0462,110,14,110359.702,2,5,5,12,Loyal
C0463,102,4,38577.2295,2,2,3,7,Potential
C0464,6,16,98796.37,5,5,5,15,High Value
C0465,3,51,296006.7915,5,5,5,15,High Value
C0466,321,2,20207.356,1,1,2,4,At Risk
C0467,258,6,33936.729999999996,1,3,3,7,Potential
C0468,89,11,69504.3095,2,4,4,10,Loyal
C0469,73,5,42496.516,3,3,3,9,Potential
C0471,52,4,22858.131999999998,3,2,2,7,Potential
C0472,9,4,40743.963,5,2,3,10,Loyal
C0473,60,6,28138.067,3,3,2,8,Potential
C0474,302,3,4670.8935,1,2,1,4,At Risk
C0475,24,18,109881.461,4,5,5,14,High Value
C0476,32,13,37701.9625,4,4,3,11,Loyal
C0478,316,3,31911.3,1,2,3,6,At Risk
C0479,38,6,23032.369,4,3,2,9,Potential
C0480,8,27,114482.9235,5,5,5,15,High Value
C0482,83,1,4149.98,2,1,1,4,At Risk
C0483,8,23,170155.864,5,5,5,15,High Value
C0484,50,26,181104.7355,3,5,5,13,High Value
C0485,5,10,81732.8875,5,4,4,13,High Value
C0486,68,13,57828.8345,3,4,4,11,Loyal
C0488,64,7,33557.465,3,3,3,9,Potential
C0489,653,1,13286.7285,1,1,1,3,At Risk
C0490,643,2,17115.039,1,1,2,4,At Risk
C0491,31,16,68514.683,4,5,4,13,High Value
C0492,114,2,10220.1855,2,1,1,4,At Risk
C0493,14,6,54374.8125,5,3,4,12,Loyal
C0494,36,23,134283.5435,4,5,5,14,High Value
C0496,6,32,240278.016,5,5,5,15,High Value
C0497,6,42,303728.91,5,5,5,15,High Value
C0498,73,8,41964.5475,3,3,3,9,Potential
C0499,689,1,6234.372,1,1,1,3,At Risk
C0500,171,2,4803.121,2,1,1,4,At Risk
C0501,18,7,38215.816,4,3,3,10,Loyal
C0503,380,3,25980.300000000003,1,2,2,5,At Risk
C0504,2,41,242339.341,5,5,5,15,High Value
C0505,359,1,5709.576,1,1,1,3,At Risk
C0506,42,7,57109.070999999996,3,3,4,10,Loyal
C0508,109,13,135802.63150000002,2,4,5,11,Loyal
C0509,62,15,110226.46100000001,3,5,5,13,High Value
C0510,157,3,11435.601,2,2,1,5,At Risk
C0511,44,1,4001.2195,3,1,1,5,At Risk
C0512,7,13,66890.4185,5,4,4,13,High Value
C0513,130,9,68274.031,2,4,4,10,Loyal
C0514,46,12,91544.44399999999,3,4,4,11,Loyal
C0515,381,2,5845.31,1,1,1,3,At Risk
C0516,2,4,36179.5575,5,2,3,10,Loyal
C0517,8,26,180858.541,5,5,5,15,High Value
C0518,7,19,119965.022,5,5,5,15,High Value
C0519,22,1,20749.899999999998,4,1,2,7,Potential
C0520,54,26,144270.3505,3,5,5,13,High Value
C0521,12,5,33600.483,5,3,3,11,Loyal
C0522,161,7,45784.786,2,3,3,8,Potential
C0523,222,1,6988.07,1,1,1,3,At Risk
C0524,274,3,23306.1125,1,2,2,5,At Risk
C0525,69,6,33495.288,3,3,3,9,Potential
C0527,13,4,25124.85,5,2,2,9,Potential
C0528,49,16,92633.7965,3,5,5,13,High Value
C0529,40,8,58920.3585,3,3,4,10,Loyal
C0530,221,5,44295.965500000006,1,3,3,7,Potential
C0531,23,25,210597.7685,4,5,5,14,High Value
C0533,42,10,41174.727999999996,3,4,3,10,Loyal
C0534,6,18,103690.97750000001,5,5,5,15,High Value
C0535,106,6,43246.852,2,3,3,8,Potential
C0536,527,1,1047.78,1,1,1,3,At Risk
C0537,12,3,24716.733,5,2,2,9,Potential
C0538,55,21,82328.08,3,5,4,12,Loyal
C0539,241,3,12530.628,1,2,1,4,At Risk
C0540,12,21,120656.7725,5,5,5,15,High Value
C0541,97,8,89885.4195,2,3,4,9,Potential
C0542,40,10,62328.444,3,4,4,11,Loyal
C0543,16,11,81981.0665,5,4,4,13,High Value
C0544,32,13,73586.74,4,4,4,12,Loyal
C0545,65,6,61675.3385,3,3,4,10,Loyal
C0546,27,5,31511.851,4,3,3,10,Loyal
C0547,12,15,120613.535,5,5,5,15,High Value
C0548,586,2,8713.47,1,1,1,3,At Risk
C0549,91,4,11866.554,2,2,1,5,At Risk
C0551,12,22,105972.678,5,5,5,15,High Value
C0552,26,3,13610.544,4,2,1,7,Potential
C0553,21,17,124269.9745,4,5,5,14,High Value
C0554,93,4,15411.829,2,2,2,6,At Risk
C0555,57,3,12828.431,3,2,1,6,At Risk
C0556,38,5,41646.7295,3,3,3,9,Potential
C0558,92,7,43626.351500000004,2,3,3,8,Potential
C0559,116,11,80774.284,2,4,4,10,Loyal
C0560,205,12,85190.4325,1,4,4,9,Potential
C0562,5,19,81680.68,5,5,4,14,High Value
C0563,49,9,23338.206,3,4,2,9,Potential
C0564,18,15,92409.7765,4,5,4,13,High Value
C0565,176,6,39838.3845,2,3,3,8,Potential
C0566,10,9,63706.3985,5,4,4,13,High Value
C0567,1,25,186239.759,5,5,5,15,High Value
C0568,31,12,84362.673,4,4,4,12,Loyal
C0569,40,4,24912.9405,3,2,2,7,Potential
C0570,307,2,7060.0505,1,1,1,3,At Risk
C0571,243,3,11883.808,1,2,1,4,At Risk
C0572,32,4,17560.950500000003,4,2,2,8,Potential
C0573,160,3,11311.402,2,2,1,5,At Risk
C0574,24,5,28109.336000000003,4,3,2,9,Potential
C0575,2,23,147040.4225,5,5,5,15,High Value
C0577,41,11,80538.1935,3,4,4,11,Loyal
C0578,712,1,6421.2495,1,1,1,3,At Risk
C0579,117,2,9665.500499999998,2,1,1,4,At Risk
C0581,33,4,34832.863,4,2,3,9,Potential
C0582,148,12,84798.45049999999,2,4,4,10,Loyal
C0583,5,17,114282.224,5,5,5,15,High Value
C0584,713,2,33876.306000000004,1,1,3,5,At Risk
C0585,205,5,19353.9265,1,3,2,6,At Risk
C0586,73,2,1567.8179999999998,3,1,1,5,At Risk
C0587,67,17,103091.2175,3,5,5,13,High Value
C0588,69,12,101875.578,3,4,5,12,Loyal
C0589,192,2,5733.590499999999,1,1,1,3,At Risk
C0590,53,11,78413.8655,3,4,4,11,Loyal
C0591,48,11,59697.592000000004,3,4,4,11,Loyal
C0593,166,6,69778.6215,2,3,4,9,Potential
C0594,23,21,90583.406,4,5,4,13,High Value
C0595,1,14,110611.27249999999,5,5,5,15,High Value
C0596,160,6,47281.267,2,3,3,8,Potential
